scope,workload,workers,iterations,successes,success_rate,throughput_per_minute,p50_ms,p95_ms,p99_ms,failures
workload,chat,1,2,2,1.0,17.49,3430.65,5041.26,5184.43,0
workload,lookup,1,2,2,1.0,399.7,149.78,262.4,272.41,0
workload,file,1,2,2,1.0,10.14,5919.13,6296.79,6330.36,0
workload,chain,1,2,2,1.0,12.2,4915.32,5008.93,5017.25,0
aggregate,all,1,8,8,1.0,0.0,4915.32,6045.02,6280.0,0
workload,chat,2,4,4,1.0,25.27,4281.31,5673.9,5786.14,0
workload,lookup,2,4,4,1.0,1300.68,91.97,129.44,129.82,0
workload,file,2,4,4,1.0,17.05,6261.84,7999.19,8185.75,0
workload,chain,2,4,4,1.0,18.46,6310.32,7380.19,7425.41,0
aggregate,all,2,16,16,1.0,0.0,5219.84,7635.64,8113.04,0
workload,chat,4,8,8,1.0,35.15,5763.15,7557.52,7843.02,0
workload,lookup,4,8,8,1.0,846.27,269.75,446.38,446.8,0
workload,file,4,8,8,1.0,26.51,7078.62,10421.12,10892.7,0
workload,chain,4,8,8,1.0,37.06,4971.63,7785.88,8048.85,0
aggregate,all,4,32,32,1.0,0.0,5746.12,8659.9,10488.48,0
